# Time A B
0.000000e+00 1.000000e+00 1.000000e+00
2.000000e-01 9.661242e-01 9.646065e-01
4.000000e-01 9.420131e-01 9.247653e-01
6.000000e-01 9.272681e-01 8.829047e-01
8.000000e-01 9.213355e-01 8.410756e-01
1.000000e+00 9.234123e-01 8.009078e-01
1.200000e+00 9.324468e-01 7.636092e-01
1.400000e+00 9.471379e-01 7.299660e-01
1.600000e+00 9.664518e-01 7.002838e-01
1.800000e+00 9.901175e-01 6.747598e-01
2.000000e+00 1.017375e+00 6.537186e-01
2.200000e+00 1.047489e+00 6.373250e-01
2.400000e+00 1.079760e+00 6.255802e-01
2.600000e+00 1.113529e+00 6.183215e-01
2.800000e+00 1.148175e+00 6.152588e-01
3.000000e+00 1.182890e+00 6.164590e-01
3.200000e+00 1.216544e+00 6.221470e-01
3.400000e+00 1.248023e+00 6.323629e-01
3.600000e+00 1.276269e+00 6.469640e-01
3.800000e+00 1.300273e+00 6.656241e-01
4.000000e+00 1.319077e+00 6.878338e-01
4.200000e+00 1.331778e+00 7.129591e-01
4.400000e+00 1.337580e+00 7.405710e-01
4.600000e+00 1.335977e+00 7.694373e-01
4.800000e+00 1.326893e+00 7.982114e-01
5.000000e+00 1.310704e+00 8.256309e-01
5.200000e+00 1.288234e+00 8.505177e-01
5.400000e+00 1.260752e+00 8.717780e-01
5.600000e+00 1.229987e+00 8.883835e-01
5.800000e+00 1.197905e+00 8.992843e-01
6.000000e+00 1.165738e+00 9.043343e-01
6.200000e+00 1.134574e+00 9.037351e-01
6.400000e+00 1.105523e+00 8.978157e-01
6.600000e+00 1.079723e+00 8.870331e-01
6.800000e+00 1.058334e+00 8.719721e-01
7.000000e+00 1.042515e+00 8.533564e-01
7.200000e+00 1.031896e+00 8.326121e-01
7.400000e+00 1.026026e+00 8.109681e-01
7.600000e+00 1.024924e+00 7.892544e-01
7.800000e+00 1.028402e+00 7.682153e-01
8.000000e+00 1.036066e+00 7.485098e-01
8.200000e+00 1.047313e+00 7.307117e-01
8.400000e+00 1.061336e+00 7.153088e-01
8.600000e+00 1.077350e+00 7.025684e-01
8.800000e+00 1.095234e+00 6.923966e-01
9.000000e+00 1.114430e+00 6.850566e-01
9.200000e+00 1.134340e+00 6.807207e-01
9.400000e+00 1.154379e+00 6.794322e-01
9.600000e+00 1.173974e+00 6.811042e-01
9.800000e+00 1.192560e+00 6.855205e-01
1.000000e+01 1.209592e+00 6.923387e-01
1.020000e+01 1.224637e+00 7.014009e-01
1.040000e+01 1.237042e+00 7.125791e-01
1.060000e+01 1.246190e+00 7.255539e-01
1.080000e+01 1.251667e+00 7.399234e-01
1.100000e+01 1.253266e+00 7.552034e-01
1.120000e+01 1.250987e+00 7.708271e-01
1.140000e+01 1.245031e+00 7.861458e-01
1.160000e+01 1.235809e+00 8.004319e-01
1.180000e+01 1.223901e+00 8.131168e-01
1.200000e+01 1.209796e+00 8.237644e-01
1.220000e+01 1.194007e+00 8.319862e-01
1.240000e+01 1.177119e+00 8.375044e-01
1.260000e+01 1.159796e+00 8.401524e-01
1.280000e+01 1.142777e+00 8.398746e-01
1.300000e+01 1.126874e+00 8.367264e-01
1.320000e+01 1.112978e+00 8.308743e-01
1.340000e+01 1.101741e+00 8.227196e-01
1.360000e+01 1.092830e+00 8.130369e-01
1.380000e+01 1.086537e+00 8.022068e-01
1.400000e+01 1.083075e+00 7.906047e-01
1.420000e+01 1.082491e+00 7.786408e-01
1.440000e+01 1.084671e+00 7.667605e-01
1.460000e+01 1.089332e+00 7.554441e-01
1.480000e+01 1.096028e+00 7.452068e-01
1.500000e+01 1.104171e+00 7.365693e-01
1.520000e+01 1.113586e+00 7.293877e-01
1.540000e+01 1.124046e+00 7.237237e-01
1.560000e+01 1.135171e+00 7.197969e-01
1.580000e+01 1.146587e+00 7.177280e-01
1.600000e+01 1.157930e+00 7.175382e-01
1.620000e+01 1.168844e+00 7.191499e-01
1.640000e+01 1.178980e+00 7.223863e-01
1.660000e+01 1.187996e+00 7.269715e-01
1.680000e+01 1.195623e+00 7.326502e-01
1.700000e+01 1.201698e+00 7.394010e-01
1.720000e+01 1.205937e+00 7.469799e-01
1.740000e+01 1.208156e+00 7.551156e-01
1.760000e+01 1.208277e+00 7.635251e-01
1.780000e+01 1.206331e+00 7.719133e-01
1.800000e+01 1.202454e+00 7.799735e-01
1.820000e+01 1.196894e+00 7.873870e-01
1.840000e+01 1.190001e+00 7.938234e-01
1.860000e+01 1.182124e+00 7.990656e-01
1.880000e+01 1.173542e+00 8.029858e-01
1.900000e+01 1.164575e+00 8.054537e-01
1.920000e+01 1.155546e+00 8.064055e-01
1.940000e+01 1.146783e+00 8.058445e-01
1.960000e+01 1.138617e+00 8.038407e-01
1.980000e+01 1.131382e+00 8.005308e-01
2.000000e+01 1.125416e+00 7.961186e-01
