# Time A B
0.000000e+00 1.000000e+00 1.000000e+00
2.000000e-01 1.003606e+00 9.615591e-01
4.000000e-01 1.007156e+00 9.276788e-01
6.000000e-01 1.010648e+00 8.978746e-01
8.000000e-01 1.014086e+00 8.717214e-01
1.000000e+00 1.017469e+00 8.488183e-01
1.200000e+00 1.020798e+00 8.287882e-01
1.400000e+00 1.024074e+00 8.112782e-01
1.600000e+00 1.027299e+00 7.959591e-01
1.800000e+00 1.030472e+00 7.825319e-01
2.000000e+00 1.033594e+00 7.708007e-01
2.200000e+00 1.036668e+00 7.606201e-01
2.400000e+00 1.039692e+00 7.518461e-01
2.600000e+00 1.042669e+00 7.443362e-01
2.800000e+00 1.045598e+00 7.379495e-01
3.000000e+00 1.048481e+00 7.325466e-01
3.200000e+00 1.051318e+00 7.279894e-01
3.400000e+00 1.054109e+00 7.241414e-01
3.600000e+00 1.056857e+00 7.208689e-01
3.800000e+00 1.059561e+00 7.181073e-01
4.000000e+00 1.062222e+00 7.158339e-01
4.200000e+00 1.064841e+00 7.140114e-01
4.400000e+00 1.067418e+00 7.126012e-01
4.600000e+00 1.069955e+00 7.115638e-01
4.800000e+00 1.072451e+00 7.108584e-01
5.000000e+00 1.074907e+00 7.104434e-01
5.200000e+00 1.077325e+00 7.102759e-01
5.400000e+00 1.079704e+00 7.103120e-01
5.600000e+00 1.082046e+00 7.105067e-01
5.800000e+00 1.084350e+00 7.108150e-01
6.000000e+00 1.086618e+00 7.112246e-01
6.200000e+00 1.088849e+00 7.117386e-01
6.400000e+00 1.091045e+00 7.123532e-01
6.600000e+00 1.093207e+00 7.130634e-01
6.800000e+00 1.095334e+00 7.138627e-01
7.000000e+00 1.097427e+00 7.147434e-01
7.200000e+00 1.099487e+00 7.156965e-01
7.400000e+00 1.101515e+00 7.167118e-01
7.600000e+00 1.103510e+00 7.177776e-01
7.800000e+00 1.105474e+00 7.188809e-01
8.000000e+00 1.107406e+00 7.200076e-01
8.200000e+00 1.109308e+00 7.211421e-01
8.400000e+00 1.111179e+00 7.222675e-01
8.600000e+00 1.113021e+00 7.233766e-01
8.800000e+00 1.114834e+00 7.244828e-01
9.000000e+00 1.116618e+00 7.255895e-01
9.200000e+00 1.118373e+00 7.266989e-01
9.400000e+00 1.120101e+00 7.278127e-01
9.600000e+00 1.121801e+00 7.289318e-01
9.800000e+00 1.123475e+00 7.300564e-01
1.000000e+01 1.125121e+00 7.311861e-01
1.020000e+01 1.126742e+00 7.323199e-01
1.040000e+01 1.128337e+00 7.334559e-01
1.060000e+01 1.129906e+00 7.345917e-01
1.080000e+01 1.131451e+00 7.357241e-01
1.100000e+01 1.132971e+00 7.368494e-01
1.120000e+01 1.134467e+00 7.379630e-01
1.140000e+01 1.135939e+00 7.390597e-01
1.160000e+01 1.137388e+00 7.401338e-01
1.180000e+01 1.138814e+00 7.411786e-01
1.200000e+01 1.140217e+00 7.421928e-01
1.220000e+01 1.141598e+00 7.431871e-01
1.240000e+01 1.142957e+00 7.441645e-01
1.260000e+01 1.144295e+00 7.451272e-01
1.280000e+01 1.145611e+00 7.460771e-01
1.300000e+01 1.146907e+00 7.470159e-01
1.320000e+01 1.148181e+00 7.479451e-01
1.340000e+01 1.149436e+00 7.488656e-01
1.360000e+01 1.150671e+00 7.497785e-01
1.380000e+01 1.151886e+00 7.506842e-01
1.400000e+01 1.153082e+00 7.515831e-01
1.420000e+01 1.154258e+00 7.524751e-01
1.440000e+01 1.155417e+00 7.533601e-01
1.460000e+01 1.156556e+00 7.542375e-01
1.480000e+01 1.157678e+00 7.551065e-01
1.500000e+01 1.158782e+00 7.559661e-01
1.520000e+01 1.159868e+00 7.568148e-01
1.540000e+01 1.160937e+00 7.576510e-01
1.560000e+01 1.161989e+00 7.584729e-01
1.580000e+01 1.163025e+00 7.592783e-01
1.600000e+01 1.164044e+00 7.600646e-01
1.620000e+01 1.165046e+00 7.608293e-01
1.640000e+01 1.166033e+00 7.615692e-01
1.660000e+01 1.167005e+00 7.622897e-01
1.680000e+01 1.167960e+00 7.629996e-01
1.700000e+01 1.168901e+00 7.636991e-01
1.720000e+01 1.169827e+00 7.643887e-01
1.740000e+01 1.170738e+00 7.650687e-01
1.760000e+01 1.171635e+00 7.657393e-01
1.780000e+01 1.172517e+00 7.664008e-01
1.800000e+01 1.173385e+00 7.670533e-01
1.820000e+01 1.174240e+00 7.676968e-01
1.840000e+01 1.175081e+00 7.683315e-01
1.860000e+01 1.175909e+00 7.689573e-01
1.880000e+01 1.176723e+00 7.695743e-01
1.900000e+01 1.177525e+00 7.701823e-01
1.920000e+01 1.178313e+00 7.707811e-01
1.940000e+01 1.179090e+00 7.713706e-01
1.960000e+01 1.179854e+00 7.719505e-01
1.980000e+01 1.180606e+00 7.725206e-01
2.000000e+01 1.181346e+00 7.730804e-01
