# Time alpha-glucose beta-glucose O2 delta-glucose H2O2
0.000000000000000000e+00 3.415063632240335489e-01 1.584936367759665066e-01 5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+01 3.393273013187119158e-01 1.232846359246403262e-01 4.626119372433521448e-01 3.738806275664782047e-02 3.738806275664782047e-02
4.000000000000000000e+01 3.369878409010901299e-01 9.819806284013476994e-02 4.351859037412247888e-01 6.481409625877512792e-02 6.481409625877512792e-02
6.000000000000000000e+01 3.345392944789815082e-01 7.976943395603650067e-02 4.143087284350179256e-01 8.569127156498206055e-02 8.569127156498206055e-02
8.000000000000000000e+01 3.320162165076185889e-01 6.591917469256679263e-02 3.979353912001852844e-01 1.020646087998147017e-01 1.020646087998147017e-01
1.000000000000000000e+02 3.294419864123231956e-01 5.538843255605454402e-02 3.848304189683776078e-01 1.151695810316223645e-01 1.151695810316223645e-01
1.200000000000000000e+02 3.268347890905768383e-01 4.722567442828924655e-02 3.740604635188659599e-01 1.259395364811340123e-01 1.259395364811340123e-01
1.400000000000000000e+02 3.242074453910159249e-01 4.082485321590469812e-02 3.650322986069205466e-01 1.349677013930794534e-01 1.349677013930794534e-01
1.600000000000000000e+02 3.215687225239148295e-01 3.580337310291416275e-02 3.573720956268289228e-01 1.426279043731710772e-01 1.426279043731710772e-01
1.800000000000000000e+02 3.189260269672722359e-01 3.183552787737428669e-02 3.507615548446463838e-01 1.492384451553535885e-01 1.492384451553535885e-01
2.000000000000000000e+02 3.162855665702151153e-01 2.864950745495884604e-02 3.449350740251738712e-01 1.550649259748261011e-01 1.550649259748261011e-01
2.200000000000000000e+02 3.136515473667909615e-01 2.607839817354700232e-02 3.397299455403379187e-01 1.602700544596620813e-01 1.602700544596620813e-01
2.400000000000000000e+02 3.110267694578338071e-01 2.401314922009345487e-02 3.350399186779272065e-01 1.649600813220727935e-01 1.649600813220727935e-01
2.600000000000000000e+02 3.084137420157126996e-01 2.235335209986714228e-02 3.307670941155798072e-01 1.692329058844202205e-01 1.692329058844202205e-01
2.800000000000000000e+02 3.058147104154004259e-01 2.100900293616818001e-02 3.268237133515685677e-01 1.731762866484314600e-01 1.731762866484314600e-01
3.000000000000000000e+02 3.032315983546197691e-01 1.990324416334040072e-02 3.231348425179600969e-01 1.768651574820399031e-01 1.768651574820399031e-01
3.200000000000000000e+02 3.006654755686530844e-01 1.899424835867798492e-02 3.196597239273310520e-01 1.803402760726689757e-01 1.803402760726689757e-01
3.400000000000000000e+02 2.981170393930295814e-01 1.825177672268156470e-02 3.163688161157110490e-01 1.836311838842889510e-01 1.836311838842889510e-01
3.600000000000000000e+02 2.955869514810015586e-01 1.764670638673889944e-02 3.132336578677403782e-01 1.867663421322595940e-01 1.867663421322595940e-01
3.800000000000000000e+02 2.930758262105481182e-01 1.715194186697646672e-02 3.102277680775245017e-01 1.897722319224754983e-01 1.897722319224754983e-01
4.000000000000000000e+02 2.905842306843746115e-01 1.674241506425949363e-02 3.073266457486340530e-01 1.926733542513659470e-01 1.926733542513659470e-01
4.200000000000000000e+02 2.881126044373924500e-01 1.639782883521868559e-02 3.045104332726111251e-01 1.954895667273889026e-01 1.954895667273889026e-01
4.400000000000000000e+02 2.856610227344326125e-01 1.610986327897646897e-02 3.017708860134090121e-01 1.982291139865909879e-01 1.982291139865909879e-01
4.600000000000000000e+02 2.832295253642312383e-01 1.587092211005158501e-02 2.991004474742828267e-01 2.008995525257172288e-01 2.008995525257172288e-01
4.800000000000000000e+02 2.808181561109646673e-01 1.567348867534781864e-02 2.964916447863124582e-01 2.035083552136875418e-01 2.035083552136875418e-01
5.000000000000000000e+02 2.784269596689274984e-01 1.551024479736913195e-02 2.939372044662965644e-01 2.060627955337034356e-01 2.060627955337034356e-01
