# Time A B
0.000000e+00 1.000000e+00 1.000000e+00
2.000000e-01 9.654617e-01 9.580695e-01
4.000000e-01 9.412053e-01 9.138197e-01
6.000000e-01 9.264429e-01 8.697061e-01
8.000000e-01 9.203564e-01 8.276828e-01
1.000000e+00 9.220369e-01 7.890418e-01
1.200000e+00 9.304841e-01 7.544126e-01
1.400000e+00 9.446069e-01 7.237626e-01
1.600000e+00 9.635651e-01 6.969699e-01
1.800000e+00 9.869082e-01 6.746331e-01
2.000000e+00 1.013816e+00 6.569056e-01
2.200000e+00 1.043447e+00 6.438046e-01
2.400000e+00 1.074941e+00 6.352184e-01
2.600000e+00 1.107420e+00 6.309061e-01
2.800000e+00 1.140049e+00 6.305705e-01
3.000000e+00 1.171857e+00 6.341794e-01
3.200000e+00 1.201639e+00 6.416602e-01
3.400000e+00 1.228353e+00 6.527909e-01
3.600000e+00 1.251127e+00 6.672026e-01
3.800000e+00 1.269258e+00 6.843794e-01
4.000000e+00 1.282216e+00 7.036584e-01
4.200000e+00 1.289640e+00 7.242473e-01
4.400000e+00 1.291436e+00 7.456489e-01
4.600000e+00 1.287924e+00 7.669095e-01
4.800000e+00 1.279602e+00 7.869842e-01
5.000000e+00 1.267090e+00 8.050280e-01
5.200000e+00 1.251134e+00 8.203958e-01
5.400000e+00 1.232605e+00 8.326424e-01
5.600000e+00 1.212500e+00 8.415224e-01
5.800000e+00 1.191940e+00 8.469902e-01
6.000000e+00 1.171789e+00 8.491055e-01
6.200000e+00 1.152641e+00 8.479731e-01
6.400000e+00 1.135305e+00 8.438739e-01
6.600000e+00 1.120366e+00 8.371857e-01
6.800000e+00 1.108179e+00 8.283827e-01
7.000000e+00 1.098874e+00 8.180358e-01
7.200000e+00 1.092354e+00 8.068124e-01
7.400000e+00 1.088305e+00 7.954547e-01
7.600000e+00 1.086657e+00 7.842032e-01
7.800000e+00 1.087396e+00 7.733549e-01
8.000000e+00 1.090358e+00 7.633044e-01
8.200000e+00 1.095312e+00 7.543522e-01
8.400000e+00 1.101962e+00 7.467056e-01
8.600000e+00 1.109946e+00 7.404779e-01
8.800000e+00 1.118836e+00 7.356890e-01
9.000000e+00 1.128194e+00 7.322749e-01
9.200000e+00 1.137857e+00 7.302413e-01
9.400000e+00 1.147452e+00 7.296382e-01
9.600000e+00 1.156608e+00 7.304524e-01
9.800000e+00 1.165016e+00 7.326061e-01
1.000000e+01 1.172424e+00 7.359567e-01
1.020000e+01 1.178643e+00 7.402969e-01
1.040000e+01 1.183542e+00 7.453545e-01
1.060000e+01 1.187052e+00 7.507968e-01
1.080000e+01 1.189197e+00 7.565149e-01
1.100000e+01 1.189987e+00 7.623515e-01
1.120000e+01 1.189438e+00 7.680374e-01
1.140000e+01 1.187618e+00 7.733468e-01
1.160000e+01 1.184646e+00 7.780978e-01
1.180000e+01 1.180690e+00 7.821521e-01
1.200000e+01 1.175970e+00 7.854151e-01
1.220000e+01 1.170758e+00 7.878358e-01
1.240000e+01 1.165374e+00 7.894070e-01
1.260000e+01 1.160118e+00 7.901681e-01
1.280000e+01 1.154979e+00 7.901740e-01
1.300000e+01 1.150156e+00 7.894468e-01
1.320000e+01 1.145847e+00 7.880310e-01
1.340000e+01 1.142197e+00 7.859991e-01
1.360000e+01 1.139304e+00 7.834511e-01
1.380000e+01 1.137219e+00 7.805147e-01
1.400000e+01 1.135939e+00 7.773453e-01
1.420000e+01 1.135419e+00 7.741259e-01
1.440000e+01 1.135559e+00 7.710674e-01
1.460000e+01 1.136260e+00 7.682363e-01
1.480000e+01 1.137491e+00 7.655771e-01
1.500000e+01 1.139196e+00 7.632207e-01
1.520000e+01 1.141307e+00 7.612674e-01
1.540000e+01 1.143741e+00 7.597847e-01
1.560000e+01 1.146405e+00 7.588072e-01
1.580000e+01 1.149192e+00 7.583367e-01
1.600000e+01 1.151981e+00 7.583422e-01
1.620000e+01 1.154641e+00 7.587599e-01
1.640000e+01 1.157026e+00 7.594931e-01
1.660000e+01 1.159018e+00 7.604336e-01
1.680000e+01 1.160724e+00 7.615976e-01
1.700000e+01 1.162106e+00 7.629463e-01
1.720000e+01 1.163105e+00 7.644228e-01
1.740000e+01 1.163687e+00 7.659715e-01
1.760000e+01 1.163842e+00 7.675379e-01
1.780000e+01 1.163581e+00 7.690689e-01
1.800000e+01 1.162941e+00 7.705121e-01
1.820000e+01 1.161980e+00 7.718168e-01
1.840000e+01 1.160779e+00 7.729332e-01
1.860000e+01 1.159445e+00 7.738127e-01
1.880000e+01 1.158071e+00 7.744268e-01
1.900000e+01 1.156651e+00 7.748094e-01
1.920000e+01 1.155239e+00 7.749639e-01
1.940000e+01 1.153887e+00 7.748985e-01
1.960000e+01 1.152638e+00 7.746307e-01
1.980000e+01 1.151528e+00 7.741869e-01
2.000000e+01 1.150582e+00 7.736028e-01
