0 0 [array([1, 1, 2, 0]), array([0, 2, 4, 0]), array([0, 2, 3, 1]), array([0, 2, 2, 2]), array([1, 0, 0, 0])]
0 1 [array([0, 2, 2, 0]), array([1, 1, 4, 0]), array([2, 0, 3, 0]), array([0, 0, 2, 0]), array([2, 0, 2, 1])]
0 2 [array([2, 0, 0, 4]), array([2, 0, 0, 2]), array([1, 1, 0, 4]), array([2, 0, 1, 3]), array([2, 0, 2, 2])]
0 3 [array([0, 1, 0, 2]), array([0, 0, 1, 0]), array([1, 0, 1, 1]), array([0, 1, 2, 0]), array([1, 1, 0, 0])]
0 4 [array([1, 1, 1, 3]), array([0, 2, 4, 0]), array([1, 0, 0, 2]), array([2, 0, 1, 2]), array([0, 2, 1, 1])]
0 5 [array([1, 1, 0, 1]), array([1, 1, 2, 0]), array([0, 2, 0, 0]), array([2, 0, 0, 1]), array([1, 1, 0, 4])]
0 6 [array([2, 0, 0, 4]), array([1, 1, 2, 2]), array([0, 2, 0, 3]), array([2, 0, 0, 0]), array([1, 1, 1, 3])]
0 7 [array([0, 1, 0, 2]), array([2, 0, 0, 2]), array([0, 2, 4, 0]), array([1, 1, 1, 3]), array([2, 0, 4, 0])]
0 8 [array([1, 0, 2, 0]), array([1, 1, 1, 3]), array([1, 1, 0, 2]), array([2, 0, 2, 2]), array([2, 0, 0, 1])]
0 9 [array([2, 0, 2, 1]), array([0, 0, 1, 0]), array([2, 0, 3, 1]), array([2, 0, 0, 0]), array([2, 0, 1, 3])]
0 10 [array([0, 2, 2, 2]), array([1, 0, 0, 1]), array([1, 1, 0, 3]), array([2, 0, 2, 2]), array([1, 1, 1, 3])]
0 11 [array([2, 0, 1, 2]), array([1, 1, 3, 1]), array([0, 2, 2, 1]), array([0, 1, 0, 0]), array([0, 2, 0, 1])]
0 12 [array([1, 0, 0, 0]), array([2, 0, 2, 1]), array([0, 2, 1, 3]), array([0, 2, 3, 1]), array([1, 1, 4, 0])]
0 13 [array([0, 1, 0, 0]), array([0, 0, 2, 0]), array([1, 1, 3, 0]), array([0, 2, 0, 1]), array([2, 0, 3, 0])]
0 14 [array([0, 2, 2, 2]), array([1, 1, 1, 0]), array([2, 0, 0, 3]), array([0, 2, 0, 0]), array([0, 2, 1, 3])]
0 15 [array([0, 2, 0, 0]), array([0, 2, 1, 1]), array([0, 2, 3, 1]), array([2, 0, 0, 4]), array([1, 0, 2, 0])]
0 16 [array([2, 0, 2, 1]), array([0, 2, 2, 0]), array([0, 1, 1, 0]), array([1, 1, 1, 2]), array([2, 0, 1, 0])]
0 17 [array([0, 2, 0, 3]), array([2, 0, 1, 2]), array([0, 2, 0, 0]), array([0, 2, 3, 0]), array([0, 0, 1, 1])]
